"center_tree_number","mstrlvl","plotmstr","Park","Lat","Lon","Transect","Plot_ID","Directions","Center_tree","Date_relocated_2024","Directions_updated_2024","ash_plot_centers_notes_2024","Center_tree_updated_2024","Center_tree_2024_species","Center_tree_2024_total_DBH_cm","Center_tree_2024_number_of_stems","seedlings_done_y_n","saplings_done_y_n","trees_done_y_n","number_microplots","mean_percent_cover_seedlings","mean_density_short_seedlings","mean_density_tall_seedlings","mean_density_seedlings","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","number_saplings","number_subplot_quadrants_with_black_ash_saplings","number_subplot_quadrants_with_green_white_pumpkin_ash_saplings","number_saplings_with_signs_symptoms","density_saplings_stems_per_m_squared","number_small_trees","number_small_trees_green_white_or_pumpkin","number_small_trees_black","number_small_trees_unknown_species","basal_area_small_trees_in_m_squared","number_living_small_trees","basal_area_living_small_trees_in_m_squared","number_healthy_small_trees","number_declining_small_trees","number_dead_small_trees","density_small_trees_stems_per_ha","basal_area_small_trees_m_squared_per_ha","density_living_small_trees_stems_per_ha","basal_area_living_small_trees_m_squared_per_ha","number_big_trees","number_living_big_trees","basal_area_big_trees_in_m_squared","basal_area_living_big_trees_in_m_squared","density_big_trees_stems_per_ha","basal_area_big_trees_m_squared_per_ha","density_living_big_trees_stems_per_ha","basal_area_living_big_trees_m_squared_per_ha"
90,"xeric",1,"Highland",42.6474566,-83.55365762,"Y","HLUP3","Go uphill, (N) and to the right so that trail is straight ahead (N).  NW of HLUP, NE of HLUP2","Fagus grandifolia            18.8 cm.","07_11_2024","","Black oak - Ostrya - white oak - hickories - beech - cherry","25.6 cm beech - tree tag partly swallowed","Fagus grandifolia","25.6",1,"y","y","y",4,1.375,0.123152709359606,0.184729064039409,0.307881773399015,2,3,5,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"xeric",2,"Hudson Mills",42.37824499,-83.91166168,"Z","HMMAT","Park at Nature Center.  Take Nature Trail to the left.  Pass picnic area and disc golf course.  Take deer trail at right into stand.  There is a poplar stand just before the deer trail.  Head NE.  ","Quercus rubra               50.6 + 40.1 cm.","08_06_2024","","","57.2 + 46.8 cm Quercus rubra","Quercus rubra","104",2,"y","y","n",4,8.75,0.307881773399015,0.492610837438424,0.800492610837439,5,8,13,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"xeric",2,"Hudson Mills",42.37825474,-83.91229145,"Z","HMMAT2","Slight NW of HMMAT.","Carya glabra   28.3 cm.","","","","","","",NA,"n","n","n",4,6.875,0.307881773399015,0.923645320197044,1.23152709359606,5,15,20,4,1,NA,NA,1,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"xeric",1,"Hudson Mills",42.3787298,-83.91267589,"Z","HMMAT3","N and slight W of HMMAT2","Quercus alba, 2-stems 26.3 + 27.7 cm.","","","","","","",NA,"n","n","n",4,6.5,0.307881773399015,0.431034482758621,0.738916256157636,5,7,12,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"xeric",2,"Pontiac Lake",42.67554541,-83.48274071,"ZA","PONNEW","Gale Rd. trail -- right side.  Enter stand few meters away from entrance and head east.  On left side of marsh. ","Acer rubrum               12.5 cm","05_16_2024","","","15 cm dbh Acer","Acer spp.","15",1,"y","y","y",4,24.375,1.35467980295567,1.84729064039409,3.20197044334975,22,30,52,4,38,NA,NA,0,0.188996428962211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"xeric",2,"Pontiac Lake",42.67584028,-83.4830424,"ZA","PONNEW2","Very close to trail and further N from PONNEW - Yellow jackets NW in 5.4 dbh","Acer palmatum (2-trunk) 5.5 + 13.2 cm.","05_16_2024","","","15.7 cm + 13.2 cm two trunk Acer","Acer spp.","28.9",2,"y","y","y",4,26.125,2.0935960591133,2.0935960591133,4.1871921182266,34,34,68,4,5,NA,NA,0,0.0248679511792382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"xeric",2,"Pontiac Lake",42.67606664,-83.48271281,"ZA","PONNEW3","Towards the marsh from PONNEW2 NE","Tilia 14 cm.","05_16_2024","","","14.2 cm Tilia","Tilia americana","14.2",1,"y","y","y",4,28,1.72413793103448,2.1551724137931,3.87931034482759,28,35,63,4,45,NA,NA,0,0.223811560613144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"mesic",3,"Pontiac Lake",42.67546355,-83.4821069,"ZB","PONRD","Towards the marsh from PONNEW3.  Kamal's 2nd one in from PONNEW","Tilia americana                  24.9 cm.","05_16_2024","","","26.2 cm Tilia","Tilia americana","26.2",1,"y","y","y",4,41.125,1.78571428571429,3.01724137931035,4.80295566502463,29,49,78,4,13,NA,NA,0,0.0646566730660194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"mesic",2,"Pontiac Lake",42.67597751,-83.48183457,"ZB","PONRD2","Around the marsh and N from PONRD.  Kamal's","Tilia spp. (3-stems) 19.8 + 12.5 + 9.3 cm.","05_16_2024","","","20.7 cm Tilia 1-stem: 2 of 3 stems are gone - also needs a tree tag","Tilia americana","20.7",1,"y","y","y",4,12.875,1.29310344827586,0.431034482758621,1.72413793103448,21,7,28,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"mesic",2,"Pontiac Lake",42.67611495,-83.4822095,"ZB","PONRD3","Follow marsh around to N side of swamp W from PONRD2,   Kamal's","Quercus rubra  24.3 cm.","05_16_2024","","","28.5 cm dbh oak","Quercus spp.","28.5",1,"y","y","y",4,6.5,0.123152709359606,0.800492610837439,0.923645320197044,2,13,15,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"xeric",2,"Pontiac Lake",42.67657235,-83.48190157,"ZC","PONWH","Slightly NW of #55 PONEAST","Quercus alba  31.3 cm.","06_27_2024","","The south microplot is underneath a log - witchhazel in the understory","34.9 cm Quercus alba","Quercus alba","34.9",1,"y","y","y",4,46.3333333333333,4.31034482758621,2.1551724137931,6.46551724137931,70,35,105,4,3,NA,NA,1,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"xeric",1,"Pontiac Lake",42.67696268,-83.48095924,"ZC","PONWH2","Close to a large marsh Mostly E, slightly N of #100 PONWH on hill top","Acer rubrum               20.8 cm.","08_01_2024","","Populus - Acer - white oak - hickory - sassafrass - Prunus understory - Tilia","24.0 cm Acer rubrum","Acer rubrum","24",1,"y","y","y",4,26.875,0.862068965517241,1.47783251231527,2.33990147783251,14,24,38,4,3,NA,NA,0,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"xeric",2,"Pontiac Lake",42.67670871,-83.48046038,"ZC","PONWH3","Opposite of another large marsh from PONWH2 slightly S and E of #101 PONWH2.","Tilia spp. 35 cm.","08_01_2024","","Acer saccharum - Ostrya - Carya (cordiformis and ovata (?)) - Quercus (red/black) - Tilia - Prunus - Acer rubrum - Cornus - Quercus alba - sassafrass - Populus grandidentata - Viburnum in understory - elm in swampy pond","40.0 cm Tilia","Tilia americana","40",1,"y","y","y",4,41.125,2.89408866995074,2.89408866995074,5.78817733990148,47,47,94,4,3,NA,NA,0,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"hydric",5,"Indian Springs",42.70640403,-83.49342124,"ZD","ISBR","  Take Nature Trail through construction area, meadow, stay to left, then take right Bridge trail at the gazebo, cross bridge, plot on right side just after the bridge ","Acer saccharinum             10 cm.","","","","","","",NA,"n","n","n",4,0,0,0,0,0,0,0,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"hydric",4,"Indian Springs",42.70623663,-83.4938222,"ZD","ISBR2","Into the forest at a 340Â° from ISBR and ISBR3 Plot runs up into grass/dry area","Acer saccharinum           34.4 cm.","","","","","","",NA,"n","n","n",4,2.875,0,0.246305418719212,0.246305418719212,0,4,4,4,8,NA,NA,1,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"hydric",4,"Indian Springs",42.70670773,-83.49360969,"ZD","ISBR3","Farthest back.","Quercus spp. 37.6 cm.","","","","","","",NA,"n","n","n",4,0.875,0,0.061576354679803,0.061576354679803,0,1,1,4,1,NA,NA,0,0.00497359023584765,3,3,0,0,0.00254076305859074,3,0.00254076305859074,2,1,0,149.207707075429,0.126367143398093,149.207707075429,0.126367143398093,0,0,0,0,0,0,0,0
106,"hydric",4,"Indian Springs",42.70572744,-83.49386673,"ZE","ISBRS","Plot on left side of trail just after the bridge.  Across trail from ISBR. SW","Acer saccharinum (3-stems) 19.7 + 13.5 + 34.8","","","","","","",NA,"n","n","n",4,3.875,0,0.492610837438424,0.492610837438424,0,8,8,4,12,NA,NA,0,0.0596830828301718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"hydric",4,"Indian Springs",42.70535737,-83.49412394,"ZE","ISBRS2","Further along the creek from ISBRS.  Limba's boots there.","Acer saccharinum (2-stems) 33.6 + 10 cm.","","","","","","",NA,"n","n","n",4,2,0,0.123152709359606,0.123152709359606,0,2,2,4,3,NA,NA,1,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"hydric",4,"Indian Springs",42.70514295,-83.49498565,"ZE","ISBRS3","From ISBRS, cross a small creek on right side, and go straight towards the big creek on left side.From 107 walk into dry woods, then parallel big creek, watch for lge. trees.","Acer saccharinum(4-stems) 52.1 + 19.1 + 43.5 + 30.7 cm.","","","","","","",NA,"n","n","n",4,0,0,0,0,0,0,0,4,1,NA,NA,0,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"mesic",2,"Indian Springs",42.70282112,-83.49624363,"ZF","ISWH","Park at Nature Center.  Take Nature Trail, enter woods on left after a marsh and before reaching old stove landmark on trail. Transect on the left side of ISMATDRY  Close to trail. ","Acer saccharum  7 cm.","06_26_2024","","","7.5 cm Acer spp.","","",NA,"y","y","y",4,0.25,0.184729064039409,0,0.184729064039409,3,0,3,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"mesic",3,"Indian Springs",42.70256049,-83.49579452,"ZF","ISWH2","Angle SE from ISWH","Quercus spp. (2-stems??) 28.2 cm.","07_02_2024","A small (10.2 cm) maple is sticking out from the base of the 1-stem Quercus alba stump)","Dominated by maples - oaks (including swamp white oak - silver maple - sugar maple - red oaks)","37.7 cm Quercus spp. (likely Q. alba) 1-stem","Quercus spp.","37.7",1,"y","y","y",4,9.25,0.246305418719212,0.677339901477833,0.923645320197044,4,11,15,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"mesic",2,"Indian Springs",42.70249606,-83.49513887,"ZF","ISWH3","Angle more E, little S toward back, from ISWH2","Acer spp.                 34.8cm.","07_02_2024","Witness tree (also flagged) is a 10.6 cm sugar (?) maple. From this witness - point 108 degrees and go 5.44 meters to get to the center tree","Lots of ash seedlings. A few small ash trees in the 8-18 m. Sugar maples - oaks in the red oak group - maybe Populus spp.","Acer spp. Has fallen and is partly covered by a large fallen hickory. Created a witness tree.","Acer spp.","fallen",NA,"y","y","y",4,13.125,2.0320197044335,1.29310344827586,3.32512315270936,33,21,54,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"xeric",1,"Kensington",42.53359794,-83.67122473,"ZG","KENNEW","Uphill from KENUPHD.  Go past KENUPHD3, NW from it.","Ulmus 18.5 cm.","05_15_2024","Witness tree: black walnut 63.2 cm (flagged). West PVC is in the equestrian path by a few feet. We put a PVC slightly nearer to the center than 8 m","","Center tree down. Center tree does have PVC and metal stake.","Missing","fallen",NA,"y","y","y",4,9.75,0.061576354679803,0.677339901477833,0.738916256157636,1,11,12,4,60,0,4,2,0.298415414150859,1,1,0,0,0.00057255526111674,1,0.00057255526111674,1,0,0,49.7359023584765,0.0284765525617342,49.7359023584765,0.0284765525617342,0,0,0,0,0,0,0,0
113,"xeric",1,"Kensington",42.53386003,-83.67146597,"ZG","KENNEW2","Go past KENNEW towards the dirt road and fence in the back of the stand, more NW.","Walnut spp.53 cm","07_01_2024","","North and West microplots are in the equestrian path - those PVCs were not placed","57.3 cm DBH Walnut","Juglans nigra","57.3",1,"y","y","y",4,5.875,0.061576354679803,0.369458128078818,0.431034482758621,1,6,7,4,107,0,4,4,0.532174155235698,3,3,0,0,0.00181348435928471,3,0.00181348435928471,3,0,0,149.207707075429,0.0901952810220085,149.207707075429,0.0901952810220085,0,0,0,0,0,0,0,0
114,"xeric",1,"Kensington",42.5343776,-83.6712658,"ZG","KENNEW3","NE of KENNEW & KENNEW2","Walnut 83.8 cm.","07_01_2024","","","96 cm Walnut","Juglans nigra","96",1,"y","y","y",4,18.125,0.123152709359606,0.985221674876847,1.10837438423645,2,16,18,4,158,0,4,6,0.785827257263929,3,3,0,0,0.00172866135763778,3,0.00172866135763778,3,0,0,149.207707075429,0.0859765324943442,149.207707075429,0.0859765324943442,0,0,0,0,0,0,0,0
